"hip";"lat";"lon";"hr";"hd";"name";"almagest_number"
51585;4;127;4127;91232;"46 Leo";477
52689;5.33;130.33;4209;93291;"52 Leo";478
52911;2.33;132.17;4227;93702;"53 Leo";479
53954;12.25;131.33;4300;95608;"60 Leo";480
54872;13.67;134.17;4357;97603;"68Del Leo";481
55765;11.17;134.33;4408;99285;"81 Leo";482
54879;9.67;136.33;4359;97633;"70The Leo";483
55642;5.83;140.33;4399;99028;"78Iot Leo";484
55434;1.25;141.67;4386;98664;"77Sig Leo";485
55945;-0.83;144.67;4418;99648;"84Tau Leo";486
56647;-3.17;147.5;4471;100920;"91Ups Leo";487
57632;11.83;144.5;4534;102647;"94Bet Leo";488
52457;13.33;126;4192;92825;"41 LMi";489
53417;15.5;128.17;4259;94601;"54 Leo";490
54182;1.17;137.5;4310;96097;"63Chi Leo";491
53824;-0.5;137.17;4294;95442;"59 Leo";492
53807;-2.67;138;4291;95345;"58 Leo";493
60742;30;144.83;4737;108381;"15Gam Com";494
59847;25;144.33;4667;106714;"7 Com";495
61394;25.5;148.5;4789;109485;"23 Com";496
57380;4.25;146.33;4517;102212;"3Nu Vir";497
57328;5.67;147;4515;102124;"2Xi Vir";498
58948;8;150.67;4608;104979;"9Omi Vir";499
58590;5.5;150.5;4589;104321;"8Pi Vir";500
57757;0.17;149;4540;102870;"5Bet Vir";501
60129;1.17;158.25;4689;107259;"15Eta Vir";502
61941;2.83;163.17;4825;110379;"29Gam Vir";503
63414;2.83;167.5;4921;112846;"44 Vir";504
64238;1.67;171;4963;114401;"51The Vir";505
63090;8.5;164.33;4910;112300;"43Del Vir";506
61960;13.5;158.17;4828;110411;"30Rho Vir";507
62267;11.67;160.17;4847;110951;"32 Vir";508
63608;15.17;162.17;4932;113226;"47Eps Vir";509
65474;-2;176.67;5056;116658;"67Alp Vir";510
66249;8.67;174.83;5107;118098;"79Zet Vir";511
66006;3.33;176.33;5095;117675;"74 Vir";512
66098;0.17;177.25;5100;117818;"76 Vir";513
66803;1.5;180;5150;119149;"82 Vir";514
65581;-3;178;5064;116870;"68 Vir";515
67172;-1.5;181.67;5173;119853;"86 Vir";516
67929;8.5;178;5232;121299;"90 Vir";517
69701;7.17;186.67;5338;124850;"99Iot Vir";518
69427;2.67;187.33;5315;124294;"98Kap Vir";519
70755;11.67;188.33;5409;126868;"105Phi Vir";520
69974;0.5;190;5359;125337;"100Lam Vir";521
71957;9.83;192.67;5487;129502;"107Mu Vir";522
61740;-3.5;164.67;4813;110014;"26Chi Vir";523
62985;-3.5;169;4902;112142;"40Psi Vir";524
64078;-3.33;172.25;4955;114038;"49 Vir";525
